"","Title","Authors","pmid","DOI","is_research.x","is_review.x","is_open_data","open_data_statements","is_open_code","open_code_statements","is_coi_pred","coi_text","is_fund_pred","fund_text","is_register_pred","register_text","is_success.y","Publication.Year","Journal.Book"
"11","Role of Backyard Flocks in Transmission Dynamics of Highly Pathogenic Avian Influenza A(H5N8) Clade 2.3.4.4, France, 2016-2017","Souvestre M, Guinat C, Niqueux E, Robertet L, Croville G, Paul M, Schmitz A, Bronner A, Eterradossi N, Guérin JL.",30623754,"10.3201/eid2503.181040",TRUE,FALSE,FALSE,"",FALSE,"",FALSE,"",TRUE,"This project was implemented through the Chaire de Biosécurité Aviaire, granted by the French Ministry of Agriculture (Direction Générale de l’Alimentation). The research leading to these results received funding from the People Programme (Marie Curie Actions) of the European Union’s Seventh Framework Programme (FP7/2007-2013) under REA grant agreement no. PCOFUND-GA-2013-609102, through the PRESTIGE Programme coordinated by Campus France.",FALSE,"",TRUE,2019,"Emerg Infect Dis"
"12","Prevalence and genotype distribution of human papillomavirus among 9945 women from the Nanhai area of Foshan","Yuan XW, Li YJ, Qiu Q, Luo ZY, Zhao XF.",30658581,"10.1186/s12879-019-3687-y",TRUE,FALSE,FALSE,"",FALSE,"",TRUE,"Competing interests The authors declare that they have no competing interests.",TRUE,"Funding Not applicable.",FALSE,"",TRUE,2019,"BMC Infect Dis"
"13","Global Review of the Age Distribution of Rotavirus Disease in Children Aged <5 Years Before the Introduction of Rotavirus Vaccination","Hasso-Agopsowicz M, Ladva CN, Lopman B, Sanderson C, Cohen AL, Tate JE, Riveros X, Henao-Restrepo AM, Clark A; Global Rotavirus Surveillance Network and Rotavirus Age Study Collaborators.",30689799,"10.1093/cid/ciz060",FALSE,TRUE,FALSE,"",FALSE,"",TRUE,"Potential conflicts of interest.  B. L. has received personal fees from Takeda Pharmaceuticals and the CDC Foundation. All other authors report no potential conflicts. All authors have submitted the ICMJE Form for Disclosure of Potential Conflicts of Interest. Conflicts that the editors consider relevant to the content of the manuscript have been disclosed. Potential conflicts of interest.  ",TRUE,"Financial support.  This work was supported by the Bill & Melinda Gates Foundation (BMGF), Grant Numbers OPP1147721 and OPP1163272. Support for this project was also provided by PATH, WHO and NIH (R01 AI112970). Financial support.  ",FALSE,"",TRUE,2019,"Clin Infect Dis"
"14","Program-wide review and follow-up of erythema Induratum of Bazin and tuberculosis-associated ocular inflammation management in a TB low-incidence setting: need for improved treatment candidate selection, therapy standardization, and care collaboration","Connors WJ, Fisher DA, Kunimoto DY, Jarand JM.",30696400,"10.1186/s12879-019-3737-5",TRUE,FALSE,FALSE,"",FALSE,"",TRUE,"Competing interests None of the authors have competing interests relevant to this study.",TRUE,"Funding No funding received.",FALSE,"",TRUE,2019,"BMC Infect Dis"
"15","Incidence and predictors of LTFU among adults with TB/HIV co-infection in two governmental hospitals, Mekelle, Ethiopia, 2009-2016: survival model approach","Gezae KE, Abebe HT, Gebretsadik LG.",30717705,"10.1186/s12879-019-3756-2",TRUE,FALSE,FALSE,"",FALSE,"",TRUE,"Competing interests The authors declare that they have no competing interests.",TRUE,"Funding Not applicable.",FALSE,"",TRUE,2019,"BMC Infect Dis"
"16","Levels of vitamin D-associated cytokines distinguish between active and latent tuberculosis following a tuberculosis outbreak","Hong Y, Kim Y, Lee JJ, Lee MG, Lee CY, Kim Y, Heo J, Han SS, Lee SJ, Kim WJ, Hong JY.",30760247,"10.1186/s12879-019-3798-5",TRUE,FALSE,FALSE,"",FALSE,"",TRUE,"Competing interests All authors declare that they have no conflicts of interest.",TRUE,"Funding This work was supported by the Hallym University Research Fund (grant no. HURF-2017-20); the Bio & Medical Technology Development Program of the National Research Foundation funded by the Korean government (MSIT) (grant no. NRF- 2017M3A9E8033225); a National Research Foundation of Korea Grant funded by the Korean Government (grant no. NRF 2017R1C1B5017879); and a 2018 Research Grant from Kangwon National University. HURF-2017-20 and NRF- 2017M3A9E8033225 provided the necessary resources (ELISA kits and QFT-GIT assay) for collection of data. NRF 2017R1C1B5017879 and 2018 Research Grant from Kangwon National University provided professional staff suitable for the analysis and interpretation of data.",FALSE,"",TRUE,2019,"BMC Infect Dis"
"17","Seroprotection at Different Levels of the Healthcare System After Routine Vaccination With Diphtheria-Tetanus-Pertussis whole cell-Hepatitis B-Haemophilus influenzae Type B in Lao People's Democratic Republic","Hefele L, Syphan S, Xayavong D, Homsana A, Kleine D, Chanthavilay P, Nouanthong P, Xaydalasouk K, Phathammavong O, Billamay S, Xeuatvongsa A, Reinharz D, Muller CP, Black AP.",30778522,"10.1093/cid/ciz143",TRUE,FALSE,FALSE,"",FALSE,"",TRUE,"Potential conflicts of interest. All authors: No reported conflicts. All authors have submitted the ICMJE Form for Disclosure of Potential Conflicts of Interest. Conflicts that the editors consider relevant to the content of the manuscript have been disclosed. Potential conflicts of interest.",TRUE,"Financial support. This work was supported by the Ministry of Foreign and European Affairs, Luxembourg (project “Lao Luxembourg Partnership for Research and Capacity Building in Infectious Disease Surveillance II”) and the Luxembourg Institute of Health and l’Agence universitaire de la Francophonie (AUF). Financial support.",FALSE,"",TRUE,2019,"Clin Infect Dis"
"18","Reassortments among Avian Influenza A(H5N1) Viruses Circulating in Indonesia, 2015-2016","Karo-Karo D, Bodewes R, Wibawa H 1st, Artika M, Pribadi ES, Diyantoro D, Pratomo W, Sugama A, Hendrayani N, Indasari I, Wibowo MH, Muljono DH, Stegeman JA, Koch G.",30789142,"10.3201/eid2503.180167",TRUE,FALSE,TRUE,"data were compiled from this study and additional sequence data of directorate general for livestock services the indonesian ministry of agriculture and submitted to genbank (accession nos epi1009273-463).;     viruses were submitted by dic wates of dglahs-moa to genbank and then downloaded to gisaid ( https://www gisaid org ; accession nos epi1009273-463) ( appendix 2 table 1).",FALSE,"",FALSE,"",TRUE,"This study is funded by the Royal Netherlands Academy of Art and Sciences (project no. SPIN3-JRP-61) as a part of Scientific Programme Indonesia-Netherlands.",FALSE,"",TRUE,2019,"Emerg Infect Dis"
"19","Healthcare Costs and Life-years Gained From Treatments Within the Advancing Cryptococcal Meningitis Treatment for Africa (ACTA) Trial on Cryptococcal Meningitis: A Comparison of Antifungal Induction Strategies in Sub-Saharan Africa","Chen T, Mwenge L, Lakhi S, Chanda D, Mwaba P, Molloy SF, Gheorghe A, Griffiths UK, Heyderman RS, Kanyama C, Kouanfack C, Mfinanga S, Chan AK, Temfack E, Kivuyo S, Hosseinipour MC, Lortholary O, Loyse A, Jaffar S, Harrison TS, Niessen LW; ACTA Trial Team.",30863852,"10.1093/cid/ciy971",TRUE,FALSE,FALSE,"",FALSE,"",TRUE,"Potential conflicts of interest.  T. S. H. reports grants from Medical Research Council and Agence Nationale de Recherche sur le Sida, during the conduct of the study; grants and personal fees from Gilead Sciences; personal fees from Pfizer and Viamet; and non-financial support from Immunomycologics, outside the submitted work. O. L. reports personal fees from Pfizer, Gilead, Astellas, and Merck, outside the submitted work. All other authors declare no potential conflicts. All authors have submitted the ICMJE Form for Disclosure of Potential Conflicts of Interest. Conflicts that the editors consider relevant to the content of the manuscript have been disclosed. Potential conflicts of interest.",TRUE,"Financial support.  This work was supported by grants from the Medical Research Council in the United Kingdom (grant number 100504), the French Agency for Research on AIDS and Viral Hepatitis (Agence Nationale de Recherche sur le Sida grant number ANRS12275), and a strategic award from the Wellcome Trust UK (to the Malawi–Liverpool–Wellcome Clinical Research Programme). Financial support.",TRUE,"Clinical Trials Registration ISRCTN45035509.",TRUE,2019,"Clin Infect Dis"
"20","Decrease in Mycobacterium ulcerans disease (Buruli ulcer) in the Lalo District of Bénin (West Africa)","Anagonou EG, Johnson RC, Barogui YT, Sopoh GE, Ayelo GA, Wadagni AC, Houezo JG, Agossadou DC, Boko M.",30871489,"10.1186/s12879-019-3845-2",TRUE,FALSE,FALSE,"",FALSE,"",TRUE,"Competing interests The authors declare that they have no competing interests.",TRUE,"Funding No funding was obtained for this study.",FALSE,"",TRUE,2019,"BMC Infect Dis"
"21","Ross River Virus Antibody Prevalence, Fiji Islands, 2013-2015","Aubry M, Kama M, Vanhomwegen J, Teissier A, Mariteragi-Helle T, Hue S, Hibberd ML, Manuguerra JC, Christi K, Watson CH, Nilles EJ, Lau CL, Aaskov J, Musso D, Kucharski AJ, Cao-Lormeau VM.",30882332,"10.3201/eid2504.180694",TRUE,FALSE,FALSE,"",FALSE,"",FALSE,"",TRUE,"This work was part of ISID-Pacific and R-ZERO Pacific programs funded by the French Ministry for Europe and Foreign Affairs (Pacific Funds nos. 06314-09/04/14, 12115-02/09/15, 03016-20/05/16, and 04917-19/07/17). The study also received support from the Embassy of France in the Republic of the Fiji Islands. The study was supported by the French Government’s Investissement d’Avenir Program (Labex IBEID no. ANR-10-LABX-62-IBEID). C.L.L. was supported by an Australian National Health and Medical Research Council Fellowship (no. 1109035). Fieldwork in 2013 was funded by the World Health Organization Western Pacific Region and by the Chadwick Trust. C.H.W. was supported by the UK Medical Research Council (grant no. MR/J003999/1). A.J.K. was supported by a Sir Henry Dale Fellowship, jointly funded by the Wellcome Trust and the Royal Society (grant no. 206250/Z/17/Z).",FALSE,"",TRUE,2019,"Emerg Infect Dis"
"22","Building the Framework for Standardized Clinical Laboratory Reporting of Next-generation Sequencing Data for Resistance-associated Mutations in Mycobacterium tuberculosis Complex","Tornheim JA, Starks AM, Rodwell TC, Gardy JL, Walker TM, Cirillo DM, Jayashankar L, Miotto P, Zignol M, Schito M.",30883637,"10.1093/cid/ciz219",FALSE,TRUE,FALSE,"",FALSE,"",TRUE,"Potential conflicts of interest.  Dr. Rodwell reports funding for salary support from the Foundation for Innovative New Diagnostics, during the conduct of the study. In addition, Dr. Rodwell has a patent (SD2015-079) issued. All authors have submitted the ICMJE Form for Disclosure of Potential Conflicts of Interest. Conflicts that the editors consider relevant to the content of the manuscript have been disclosed. Potential conflicts of interest.",TRUE,"Financial support.  J. A. T. was supported by the NIAID of the NIH (grant K23AI135102); the NIH Office of the Director; Fogarty International Center; Office of AIDS Research; National Cancer Center; National Heart, Blood, and Lung Institute; and the NIH Office of Research for Women’s Health through the Fogarty Global Health Fellows Program Consortium comprised of the University of North Carolina, Johns Hopkins, Morehouse, and Tulane (R25TW009340), the Johns Hopkins University School of Medicine Clinician Scientist Career Development Award (NIH NIAID, R21AI122922), FIND, and the Gilead Foundation. FIND received support from the Bill & Melinda Gates Foundation for this study (OPP1115209). T. C. R. was supported by the NIAID of the NIH (grant R21AI135756) and received salary support from FIND. J. L. G. is supported by the Canada Research Chairs program and the Michael Smith Foundation for Health Research Scholar Awards program. T. M. W. is a National Institute for Health Research Academic Clinical Lecturer. M. Z. is a staff member of the WHO. M. S. is supported by a grant from the Bill & Melinda Gates Foundation (OPP1115887) for this study. Financial support.",FALSE,"",TRUE,2019,"Clin Infect Dis"
"23","A population-based analysis of invasive fungal disease in haematology-oncology patients using data linkage of state-wide registries and administrative databases: 2005 - 2016","Valentine JC, Morrissey CO, Tacey MA, Liew D, Patil S, Peleg AY, Ananda-Rajah MR.",30898090,"10.1186/s12879-019-3901-y",TRUE,FALSE,FALSE,"",FALSE,"",TRUE,"Competing interests The authors declare that they have no competing interests.",TRUE,"Funding This was an unfunded study.",FALSE,"",TRUE,2019,"BMC Infect Dis"
"24","A Highly Immunogenic, Protective, and Safe Adenovirus-Based Vaccine Expressing Middle East Respiratory Syndrome Coronavirus S1-CD40L Fusion Protein in a Transgenic Human Dipeptidyl Peptidase 4 Mouse Model","Hashem AM, Algaissi A, Agrawal AS, Al-Amri SS, Alhabbab RY, Sohrab SS, S Almasoud A, Alharbi NK, Peng BH, Russell M, Li X, Tseng CK.",30911758,"10.1093/infdis/jiz137",TRUE,FALSE,FALSE,"",FALSE,"",TRUE,"Potential conflicts of interest.  A. M. H. is an inventor on a US patent application related to this work. All other authors report no potential conflicts of interest. All authors have submitted the ICMJE Form for Disclosure of Potential Conflicts of Interest. Conflicts that the editors consider relevant to the content of the manuscript have been disclosed. Potential conflicts of interest.",TRUE,"Financial support.  This work was supported by King Abdulaziz City for Science and Technology (grant number AT-35–171 to A. M. H.). Financial support.",FALSE,"",TRUE,2019,"J Infect Dis"
"25","Current Treatment Options for Acute Skin and Skin-structure Infections","Golan Y.",30957166,"10.1093/cid/ciz004",TRUE,FALSE,FALSE,"",FALSE,"",TRUE,"Potential conflicts of interest.  Y. G. has received speaker fees from Merck, Pfizer, Allergan, Melinta Pharmaceuticals, Tetraphase, and Achaogen; research funding from Allergan and Merck; and advisor fees from Merck, Achaogen, Tetraphase, Paratek, Melinta, and Shionogi unrelated to this manuscript. The author has submitted the ICMJE Form for Disclosure of Potential Conflicts of Interest. Conflicts that the editors consider relevant to the content of the manuscript have been disclosed. Potential conflicts of interest.",TRUE,"Financial support.  Editorial support was funded by Melinta Therapeutics and was provided by HealthCare Alliance Group. Financial support.",FALSE,"",TRUE,2019,"Clin Infect Dis"
"26","Prevalence of active trachoma and associated risk factors among children of the pastoralist population in Madda Walabu rural district, Southeast Ethiopia: a community-based cross-sectional study","Kassim K, Kassim J, Aman R, Abduku M, Tegegne M, Sahiledengle B.",31035947,"10.1186/s12879-019-3992-5",TRUE,FALSE,FALSE,"",FALSE,"",TRUE,"Competing interests The authors declare that they have no competing interests.",TRUE,"Funding No fund was obtained for this study.",FALSE,"",TRUE,2019,"BMC Infect Dis"
"27","Anti-Ebola therapy for patients with Ebola virus disease: a systematic review","Lee JS, Adhikari NKJ, Kwon HY, Teo K, Siemieniuk R, Lamontagne F, Chan A, Mishra S, Murthy S, Kiiza P, Hajek J, Bah EI, Lamah MC, Kao R, Fowler RA.",31046707,"10.1186/s12879-019-3980-9",TRUE,FALSE,FALSE,"",FALSE,"",TRUE,"Competing interests Sharmistha Mishra is a member of the editorial board of BMC Infectious Diseases but was not involved in editorial decisions related to this manuscript. The remaining authors declare that they have no competing interests.",TRUE,"Funding This study was supported by a grant from the Canadian Institutes of Health Research, which had no role in the design of the study; collection, analysis, and interpretation of data; or in writing the manuscript.",FALSE,"",TRUE,2019,"BMC Infect Dis"
"28","A random survey of the prevalence of falsified and substandard antibiotics in the Lao PDR","Tabernero P, Swamidoss I, Mayxay M, Khanthavong M, Phonlavong C, Vilayhong C, Yeuchaixiong S, Sichanh C, Sengaloundeth S, Green MD, Newton PN.",31049576,"10.1093/jac/dkz164",TRUE,FALSE,NA,NA,NA,NA,FALSE,"",FALSE,"",FALSE,"",TRUE,2019,"J Antimicrob Chemother"
"29","Attainment of target rifampicin concentrations in cerebrospinal fluid during treatment of tuberculous meningitis","Mezochow A, Thakur KT, Zentner I, Subbian S, Kagan L, Vinnard C.",31051278,"10.1016/j.ijid.2019.04.026",TRUE,FALSE,FALSE,"",FALSE,"",TRUE,"Conflict of interest: All authors report no conflicts of interest.",TRUE,"Funding This work was supported by the National Institutes of Health (K23AI102639, R01AI137080 to CV) NICHD/NIH1R01HD074944–01, NINDS/NIH K23NS105935–01 to KTT. The funders had no role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript.",FALSE,"",TRUE,2019,"Int J Infect Dis"
