"","PMID","Title","Authors","Citation","First.Author","Journal.Book","Publication.Year","Create.Date","PMCID","NIHMS.ID","DOI"
"16",34838183,"Effectiveness of ChAdOx1 nCoV-19 vaccine against SARS-CoV-2 infection during the delta (B.1.617.2) variant surge in India: a test-negative, case-control study and a mechanistic study of post-vaccination immune responses","Thiruvengadam R, Awasthi A, Medigeshi G, Bhattacharya S, Mani S, Sivasubbu S, Shrivastava T, Samal S, Rathna Murugesan D, Koundinya Desiraju B, Kshetrapal P, Pandey R, Scaria V, Kumar Malik P, Taneja J, Binayke A, Vohra T, Zaheer A, Rathore D, Ahmad Khan N, Shaman H, Ahmed S, Kumar R, Deshpande S, Subramani C, Wadhwa N, Gupta N, Pandey AK, Bhattacharya J, Agrawal A, Vrati S, Bhatnagar S, Garg PK; Department of Biotechnology India Consortium for COVID-19 research.","Lancet Infect Dis. 2022 Apr;22(4):473-482. doi: 10.1016/S1473-3099(21)00680-0. Epub 2021 Nov 25.","Thiruvengadam R","Lancet Infect Dis",2022,"2021/11/28","PMC8616567","","10.1016/S1473-3099(21)00680-0"
"17",34826623,"Virological and serological kinetics of SARS-CoV-2 Delta variant vaccine breakthrough infections: a multicentre cohort study","Chia PY, Ong SWX, Chiew CJ, Ang LW, Chavatte JM, Mak TM, Cui L, Kalimuddin S, Chia WN, Tan CW, Chai LYA, Tan SY, Zheng S, Lin RTP, Wang L, Leo YS, Lee VJ, Lye DC, Young BE.","Clin Microbiol Infect. 2022 Apr;28(4):612.e1-612.e7. doi: 10.1016/j.cmi.2021.11.010. Epub 2021 Nov 23.","Chia PY","Clin Microbiol Infect",2022,"2021/11/26","PMC8608661","","10.1016/j.cmi.2021.11.010"
"18",34763058,"Female gender is associated with long COVID syndrome: a prospective cohort study","Bai F, Tomasoni D, Falcinella C, Barbanotti D, Castoldi R, Mulè G, Augello M, Mondatore D, Allegrini M, Cona A, Tesoro D, Tagliaferri G, Viganò O, Suardi E, Tincati C, Beringheli T, Varisco B, Battistini CL, Piscopo K, Vegni E, Tavelli A, Terzoni S, Marchetti G, Monforte AD.","Clin Microbiol Infect. 2022 Apr;28(4):611.e9-611.e16. doi: 10.1016/j.cmi.2021.11.002. Epub 2021 Nov 9.","Bai F","Clin Microbiol Infect",2022,"2021/11/11","PMC8575536","","10.1016/j.cmi.2021.11.002"
"19",34454093,"Risk factors and outcome of pulmonary aspergillosis in critically ill coronavirus disease 2019 patients-a multinational observational study by the European Confederation of Medical Mycology","Prattes J, Wauters J, Giacobbe DR, Salmanton-García J, Maertens J, Bourgeois M, Reynders M, Rutsaert L, Van Regenmortel N, Lormans P, Feys S, Reisinger AC, Cornely OA, Lahmer T, Valerio M, Delhaes L, Jabeen K, Steinmann J, Chamula M, Bassetti M, Hatzl S, Rautemaa-Richardson R, Koehler P, Lagrou K, Hoenigl M; ECMM-CAPA Study Group.","Clin Microbiol Infect. 2022 Apr;28(4):580-587. doi: 10.1016/j.cmi.2021.08.014. Epub 2021 Aug 26.","Prattes J","Clin Microbiol Infect",2022,"2021/08/28","PMC8387556","","10.1016/j.cmi.2021.08.014"
"20",34192577,"Endotheliopathy marked by high von Willebrand factor (vWF) antigen in COVID-19 is associated with poor outcome: a systematic review and meta-analysis","Wibowo A, Pranata R, Lim MA, Akbara MR, Martha JW.","Int J Infect Dis. 2022 Apr;117:267-273. doi: 10.1016/j.ijid.2021.06.051. Epub 2021 Jun 27.","Wibowo A","Int J Infect Dis",2022,"2021/06/30","PMC8236128","","10.1016/j.ijid.2021.06.051"
"21",34022333,"A simplified alternative diagnostic algorithm for SARS-CoV-2 suspected symptomatic patients and confirmed close contacts (asymptomatic): A consensus of Latin American experts","Fay FF, Alvarez-Moreno CA, Bonvehi PE, Espinoza CC, Hidalgo MLH, Marcano-Lozada M, Perez CM, Pulchinelli A Jr, Sáenz-Flor KV, Condino-Neto A.","Int J Infect Dis. 2022 Apr;117:130-136. doi: 10.1016/j.ijid.2021.05.011. Epub 2021 May 20.","Fay FF","Int J Infect Dis",2022,"2021/05/22","PMC8133827","","10.1016/j.ijid.2021.05.011"
"22",33984511,"Epidemiological and clinical features of SARS-CoV-2 cluster infection in Anhui Province, Eastern China","Wu J, Chen X, Gong L, Huo S, Gao X, Nie S, Chen F, Hou S, Song D, Ma W, Jiang X, Liu Z.","Int J Infect Dis. 2022 Apr;117:372-377. doi: 10.1016/j.ijid.2021.04.064. Epub 2021 May 11.","Wu J","Int J Infect Dis",2022,"2021/05/13","PMC8110625","","10.1016/j.ijid.2021.04.064"
"23",33901655,"Development and validation of the CoV19-OM intensive care unit score: An early ICU identification for laboratory-confirmed SARS-CoV-2 patients from a retrospective cohort study in Oman","Lacap EM Jr, Varghese A, Khamis F, Al Bahrani M, Al Naamani H, Kolamban S, Al Dowaiki S, Al Shuaily HS.","Int J Infect Dis. 2022 Apr;117:241-246. doi: 10.1016/j.ijid.2021.04.069. Epub 2021 Apr 24.","Lacap EM Jr","Int J Infect Dis",2022,"2021/04/26","PMC8065243","","10.1016/j.ijid.2021.04.069"
"24",34973415,"A hot topic at the environment-health nexus: investigating the impact of climate change on infectious diseases","Grobusch LC, Grobusch MP.","Int J Infect Dis. 2022 Mar;116:7-9. doi: 10.1016/j.ijid.2021.12.350. Epub 2021 Dec 29.","Grobusch LC","Int J Infect Dis",2022,"2022/01/01","PMC8716146","","10.1016/j.ijid.2021.12.350"
"25",34971824,"Influence of chronic use of corticosteroids and calcineurin inhibitors on COVID-19 clinical outcomes: analysis of a nationwide registry","Calderón-Parra J, Cuervas-Mons V, Moreno-Torres V, Rubio-Rivas M, Blas PA, Pinilla-Llorente B, Helguera-Amezua C, Jiménez-García N, Pesqueira-Fontan PM, Méndez-Bailón M, Artero A, Gilabert N, Ibánez-Estéllez F, Freire-Castro SJ, Lumbreras-Bermejo C, Antón-Santos JM; SEMI-COVID-19 Network. A complete list of the SEMI-COVID-19 Network members is provided in the Appendix.","Int J Infect Dis. 2022 Mar;116:51-58. doi: 10.1016/j.ijid.2021.12.327. Epub 2021 Dec 28.","Calderón-Parra J","Int J Infect Dis",2022,"2021/12/31","PMC8713429","","10.1016/j.ijid.2021.12.327"
"26",34971823,"Decreased severity of disease during the first global omicron variant covid-19 outbreak in a large hospital in tshwane, south africa","Abdullah F, Myers J, Basu D, Tintinger G, Ueckermann V, Mathebula M, Ramlall R, Spoor S, de Villiers T, Van der Walt Z, Cloete J, Soma-Pillay P, Rheeder P, Paruk F, Engelbrecht A, Lalloo V, Myburg M, Kistan J, van Hougenhouck-Tulleken W, Boswell MT, Gray G, Welch R, Blumberg L, Jassat W.","Int J Infect Dis. 2022 Mar;116:38-42. doi: 10.1016/j.ijid.2021.12.357. Epub 2021 Dec 28.","Abdullah F","Int J Infect Dis",2022,"2021/12/31","PMC8713416","","10.1016/j.ijid.2021.12.357"
"27",34971822,"Community seroprevalence and risk factors for SARS-CoV-2 infection in different subpopulations in Vellore, India, and their implications for future prevention","Dayanand D, Irudhayanathan I, Kundu D, Manesh A, Abraham V, Abhilash KP, Chacko B, Moorthy M, Samuel P, Peerawaranun P, Mukaka M, Joseph J, Sivaprakasam M, Varghese GM.","Int J Infect Dis. 2022 Mar;116:138-146. doi: 10.1016/j.ijid.2021.12.356. Epub 2021 Dec 28.","Dayanand D","Int J Infect Dis",2022,"2021/12/31","PMC8712712","","10.1016/j.ijid.2021.12.356"
"28",34968773,"Seroprevalence of IgG antibodies against SARS-CoV-2 in India, March 2020 to August 2021: a systematic review and meta-analysis","Jahan N, Brahma A, Kumar MS, Bagepally BS, Ponnaiah M, Bhatnagar T, Murhekar MV.","Int J Infect Dis. 2022 Mar;116:59-67. doi: 10.1016/j.ijid.2021.12.353. Epub 2021 Dec 28.","Jahan N","Int J Infect Dis",2022,"2021/12/30","PMC8712428","","10.1016/j.ijid.2021.12.353"
"29",34965462,"Comparing self-reported reactogenicity between adolescents and adults following the use of BNT162b2 (Pfizer-BioNTech) messenger RNA COVID-19 vaccine: a prospective cohort study","Chan EWW, Leung MTY, Lau LKW, Leung J, Lum D, Wong RS, Li X, Chui CSL, Wan EYF, Wong CKH, Chan EWY, Ip P, Wong ICK, Lai FTT.","Int J Infect Dis. 2022 Mar;116:47-50. doi: 10.1016/j.ijid.2021.12.354. Epub 2021 Dec 26.","Chan EWW","Int J Infect Dis",2022,"2021/12/29","PMC8710238","","10.1016/j.ijid.2021.12.354"
"30",34965365,"Airborne Transmission of SARS-CoV-2 Delta Variant within Tightly Monitored Isolation Facility, New Zealand (Aotearoa)","Fox-Lewis A, Williamson F, Harrower J, Ren X, Sonder GJB, McNeill A, de Ligt J, Geoghegan JL.","Emerg Infect Dis. 2022 Mar;28(3):501-509. doi: 10.3201/eid2803.212318. Epub 2021 Dec 29.","Fox-Lewis A","Emerg Infect Dis",2022,"2021/12/29","PMC8888211","","10.3201/eid2803.212318"
"31",34963505,"Epidemiology of COVID-19 after Emergence of SARS-CoV-2 Gamma Variant, Brazilian Amazon, 2020-2021","Nicolete VC, Rodrigues PT, Fernandes ARJ, Corder RM, Tonini J, Buss LF, Sales FC, Faria NR, Sabino EC, Castro MC, Ferreira MU.","Emerg Infect Dis. 2022 Mar;28(3):709-712. doi: 10.3201/eid2803.211993. Epub 2021 Dec 28.","Nicolete VC","Emerg Infect Dis",2022,"2021/12/29","PMC8888227","","10.3201/eid2803.211993"
"32",34958929,"Performance of colorimetric reverse transcription loop-mediated isothermal amplification as a diagnostic tool for SARS-CoV-2 infection during the fourth wave of COVID-19 in Thailand","Promlek T, Thanunchai M, Phumisantiphong U, Hansirisathit T, Phuttanu C, Dongphooyao S, Thongsopa W, Nuchnoi P.","Int J Infect Dis. 2022 Mar;116:133-137. doi: 10.1016/j.ijid.2021.12.351. Epub 2021 Dec 25.","Promlek T","Int J Infect Dis",2022,"2021/12/27","PMC8709723","","10.1016/j.ijid.2021.12.351"
"33",34954312,"Role of institutional, cultural and economic factors in the effectiveness of lockdown measures","Çakmaklı C, Demiralp S, Ergönül Ö, Yeşiltaş S, Yıldırım MA.","Int J Infect Dis. 2022 Mar;116:111-113. doi: 10.1016/j.ijid.2021.12.333. Epub 2021 Dec 23.","Çakmaklı C","Int J Infect Dis",2022,"2021/12/26","PMC8765763","","10.1016/j.ijid.2021.12.333"
"34",34954095,"Safety and tolerability of hydroxychloroquine in health care workers and first responders for the prevention of COVID-19: WHIP COVID-19 Study","McKinnon JE, Wang DD, Zervos M, Saval M, Marshall-Nightengale L, Kilgore P, Pabla P, Szandzik E, Maksimowicz-McKinnon K, O'Neill WW.","Int J Infect Dis. 2022 Mar;116:167-173. doi: 10.1016/j.ijid.2021.12.343. Epub 2021 Dec 23.","McKinnon JE","Int J Infect Dis",2022,"2021/12/26","PMC8695310","","10.1016/j.ijid.2021.12.343"
"35",34952212,"Considerations for COVID-19 management in reception centers for refugees, asylum seekers, and migrants, Spain 2020","Hoefer A, Pampaka D, Castrillejo D, Luengo-Cabrera J, Paisi M, Herrera-León S, López-Perea N, Diego-Salas JD.","Int J Infect Dis. 2022 Mar;116:108-110. doi: 10.1016/j.ijid.2021.12.341. Epub 2021 Dec 21.","Hoefer A","Int J Infect Dis",2022,"2021/12/24","PMC8690219","","10.1016/j.ijid.2021.12.341"
"36",34952211,"Low transferrin levels predict heightened inflammation in patients with COVID-19: New insights","Claise C, Saleh J, Rezek M, Vaulont S, Peyssonnaux C, Edeas M.","Int J Infect Dis. 2022 Mar;116:74-79. doi: 10.1016/j.ijid.2021.12.340. Epub 2021 Dec 21.","Claise C","Int J Infect Dis",2022,"2021/12/24","PMC8688186","","10.1016/j.ijid.2021.12.340"
"37",34929360,"Effective presence of antibodies against common human coronaviruses in immunoglobulin medicinal products","Díez JM, Romero C, Gajardo R.","Int J Infect Dis. 2022 Mar;116:68-73. doi: 10.1016/j.ijid.2021.12.329. Epub 2021 Dec 17.","Díez JM","Int J Infect Dis",2022,"2021/12/20","PMC8679496","","10.1016/j.ijid.2021.12.329"
"38",34929356,"SARS-CoV-2 prevalence and immunity: a hospital-based study from Malawi","Meinus C, Singer R, Nandi B, Jagot O, Becker-Ziaja B, Karo B, Mvula B, Jansen A, Baumann J, Schultz A.","Int J Infect Dis. 2022 Mar;116:157-165. doi: 10.1016/j.ijid.2021.12.336. Epub 2021 Dec 17.","Meinus C","Int J Infect Dis",2022,"2021/12/20","PMC8679501","","10.1016/j.ijid.2021.12.336"
"39",34922006,"A pooled RT-PCR testing strategy for more efficient COVID-19 pandemic management","Ayaz A, Demir AGO, Ozturk G, Kocak M.","Int J Infect Dis. 2022 Mar;116:1-6. doi: 10.1016/j.ijid.2021.12.328. Epub 2021 Dec 15.","Ayaz A","Int J Infect Dis",2022,"2021/12/18","PMC8673736","","10.1016/j.ijid.2021.12.328"
"40",34920122,"Genomic characterization of SARS-CoV-2 and its association with clinical outcomes: a 1-year longitudinal study of the pandemic in Colombia","Ruiz-Sternberg ÁM, Chaparro-Solano HM, Albornóz LL, Pinzón-Rondón ÁM, Pardo-Oviedo JM, Molano-González N, Otero-Rodríguez DA, Zapata-Gómez FA, Gálvez JM.","Int J Infect Dis. 2022 Mar;116:91-100. doi: 10.1016/j.ijid.2021.12.326. Epub 2021 Dec 15.","Ruiz-Sternberg ÁM","Int J Infect Dis",2022,"2021/12/17","PMC8673727","","10.1016/j.ijid.2021.12.326"
"41",34920116,"Zoonotic spill-over of SARS-CoV-2: mink-adapted virus in humans","Rabalski L, Kosinski M, Mazur-Panasiuk N, Szewczyk B, Bienkowska-Szewczyk K, Kant R, Sironen T, Pyrc K, Grzybek M.","Clin Microbiol Infect. 2022 Mar;28(3):451.e1-451.e4. doi: 10.1016/j.cmi.2021.12.001. Epub 2021 Dec 15.","Rabalski L","Clin Microbiol Infect",2022,"2021/12/17","PMC8673923","","10.1016/j.cmi.2021.12.001"
"42",34902583,"The impact of the COVID-19 preventive measures on influenza transmission: molecular and epidemiological evidence","Tran LK, Huang DW, Li NK, Li LM, Palacios JA, Chang HH.","Int J Infect Dis. 2022 Mar;116:11-13. doi: 10.1016/j.ijid.2021.12.323. Epub 2021 Dec 10.","Tran LK","Int J Infect Dis",2022,"2021/12/13","PMC8662913","","10.1016/j.ijid.2021.12.323"
"43",34890790,"Persistence of clinically relevant levels of SARS-CoV2 envelope gene subgenomic RNAs in non-immunocompromised individuals","Davies M, Bramwell LR, Jeffery N, Bunce B, Lee BP, Knight B, Auckland C, Masoli JA, Harries LW.","Int J Infect Dis. 2022 Mar;116:418-425. doi: 10.1016/j.ijid.2021.12.312. Epub 2021 Dec 7.","Davies M","Int J Infect Dis",2022,"2021/12/10","PMC8757659","","10.1016/j.ijid.2021.12.312"
"44",34843662,"Prevention of SARS-CoV-2 transmission during a large, live, indoor gathering (SPRING): a non-inferiority, randomised, controlled trial","Delaugerre C, Foissac F, Abdoul H, Masson G, Choupeaux L, Dufour E, Gastli N, Delarue SM, Néré ML, Minier M, Gabassi A, Salmona M, Seguineau M, Schmitt S, Tonglet S, Olivier A, Poyart C, Le Goff J, Lescure X, Kernéis S, Tréluyer JM; SPRING study group.","Lancet Infect Dis. 2022 Mar;22(3):341-348. doi: 10.1016/S1473-3099(21)00673-3. Epub 2021 Nov 26.","Delaugerre C","Lancet Infect Dis",2022,"2021/11/29","PMC8626094","","10.1016/S1473-3099(21)00673-3"
"45",34838783,"Nationwide effectiveness of five SARS-CoV-2 vaccines in Hungary-the HUN-VE study","Vokó Z, Kiss Z, Surján G, Surján O, Barcza Z, Pályi B, Formanek-Balku E, Molnár GA, Herczeg R, Gyenesei A, Miseta A, Kollár L, Wittmann I, Müller C, Kásler M.","Clin Microbiol Infect. 2022 Mar;28(3):398-404. doi: 10.1016/j.cmi.2021.11.011. Epub 2021 Nov 25.","Vokó Z","Clin Microbiol Infect",2022,"2021/11/28","PMC8612758","","10.1016/j.cmi.2021.11.011"
"46",34838782,"Immunogenicity trends 1 and 3 months after second BNT162B2 vaccination among healthcare workers in Israel","Shachor-Meyouhas Y, Hussein K, Dabaja-Younis H, Szwarcwort-Cohen M, Almog R, Weissman A, Mekel M, Hyams G, Horowitz NA, Gepstein V, Netzer I, Saban HC, Petersiel N, Tarabeia J, Halberthal M.","Clin Microbiol Infect. 2022 Mar;28(3):450.e1-450.e4. doi: 10.1016/j.cmi.2021.11.014. Epub 2021 Nov 24.","Shachor-Meyouhas Y","Clin Microbiol Infect",2022,"2021/11/28","PMC8611821","","10.1016/j.cmi.2021.11.014"
"47",34826383,"Effectiveness of an inactivated virus-based SARS-CoV-2 vaccine, BBV152, in India: a test-negative, case-control study","Desai D, Khan AR, Soneja M, Mittal A, Naik S, Kodan P, Mandal A, Maher GT, Kumar R, Agarwal A, Gowda NR, H V, Kumar P, Pandey S, Pandey RM, Kumar A, Ray A, Jorwal P, Nischal N, Choudhary A, Brijwal M, Madan K, Lodha R, Sinha S, Dar L, Wig N, Guleria R.","Lancet Infect Dis. 2022 Mar;22(3):349-356. doi: 10.1016/S1473-3099(21)00674-5. Epub 2021 Nov 23.","Desai D","Lancet Infect Dis",2022,"2021/11/26","PMC8610201","","10.1016/S1473-3099(21)00674-5"
"48",34826381,"Efficacy and safety of the CVnCoV SARS-CoV-2 mRNA vaccine candidate in ten countries in Europe and Latin America (HERALD): a randomised, observer-blinded, placebo-controlled, phase 2b/3 trial","Kremsner PG, Ahuad Guerrero RA, Arana-Arri E, Aroca Martinez GJ, Bonten M, Chandler R, Corral G, De Block EJL, Ecker L, Gabor JJ, Garcia Lopez CA, Gonzales L, Granados González MA, Gorini N, Grobusch MP, Hrabar AD, Junker H, Kimura A, Lanata CF, Lehmann C, Leroux-Roels I, Mann P, Martinez-Reséndez MF, Ochoa TJ, Poy CA, Reyes Fentanes MJ, Rivera Mejia LM, Ruiz Herrera VV, Sáez-Llorens X, Schönborn-Kellenberger O, Schunk M, Sierra Garcia A, Vergara I, Verstraeten T, Vico M, Oostvogels L; HERALD Study Group.","Lancet Infect Dis. 2022 Mar;22(3):329-340. doi: 10.1016/S1473-3099(21)00677-0. Epub 2021 Nov 23.","Kremsner PG","Lancet Infect Dis",2022,"2021/11/26","PMC8610426","","10.1016/S1473-3099(21)00677-0"
"49",34774756,"Public opinion on a mandatory COVID-19 vaccination policy in France: a cross-sectional survey","Gagneux-Brunon A, Botelho-Nevers E, Bonneton M, Peretti-Watel P, Verger P, Launay O, Ward JK.","Clin Microbiol Infect. 2022 Mar;28(3):433-439. doi: 10.1016/j.cmi.2021.10.016. Epub 2021 Nov 10.","Gagneux-Brunon A","Clin Microbiol Infect",2022,"2021/11/14","PMC8912915","","10.1016/j.cmi.2021.10.016"
"50",34774188,"Infection control in the intensive care unit: expert consensus statements for SARS-CoV-2 using a Delphi method","Nasa P, Azoulay E, Chakrabarti A, Divatia JV, Jain R, Rodrigues C, Rosenthal VD, Alhazzani W, Arabi YM, Bakker J, Bassetti M, De Waele J, Dimopoulos G, Du B, Einav S, Evans L, Finfer S, Guérin C, Hammond NE, Jaber S, Kleinpell RM, Koh Y, Kollef M, Levy MM, Machado FR, Mancebo J, Martin-Loeches I, Mer M, Niederman MS, Pelosi P, Perner A, Peter JV, Phua J, Piquilloud L, Pletz MW, Rhodes A, Schultz MJ, Singer M, Timsit JF, Venkatesh B, Vincent JL, Welte T, Myatra SN.","Lancet Infect Dis. 2022 Mar;22(3):e74-e87. doi: 10.1016/S1473-3099(21)00626-5. Epub 2021 Nov 10.","Nasa P","Lancet Infect Dis",2022,"2021/11/14","PMC8580499","","10.1016/S1473-3099(21)00626-5"
